gene_id	cell_cluster_0	cell_cluster_1	cell_cluster_2	cell_cluster_3	cell_cluster_4	cell_cluster_5	cell_cluster_6	cell_cluster_7	cell_cluster_8	cell_cluster_9	cell_cluster_10	cell_cluster_11	cell_cluster_12
21	Hvul-g10038-1	-0.00110159004839089	0.00210842555221335	0.000480377927556207	-0.00215851006982858	-0.000272783549977783	-0.00206637985174258	0.00734366473183892	0.000792976757190406	-0.00202152336284622	-0.00200436438256556	-0.00199847912915127	-0.00199641022388443	-0.00199142801019075
22	Hvul-g10039-1	0.0017938558977886	-0.0137061228508889	0.0215639510863323	-0.0129782049422873	0.0622944920952914	-0.0423559669606346	-0.0207286786982053	0.0138223761939199	-0.0194637348314335	-0.0225882002813874	-0.0343886089606011	-0.00281287793339153	0.0352873315247662
23	Hvul-g1004-1	0.0265944238516675	0.0585077814147235	-0.109948920770445	-0.36196785957402	-0.0770589763447915	0.0276044055672868	-0.471094739385453	0.749665187623208	-0.337538257280365	-0.240884039253529	0.43866306849912	0.235154580697242	0.376010352894696
24	Hvul-g10040-1	-0.086783159662814	-0.0961234330824536	-0.0775454373724152	0.357845430676271	0.308373693425162	-0.0593393106731128	-0.0860332058575603	-0.0858594686528365	-0.0848244069665579	-0.0841245073700906	-0.0511280628437836	0.168955969525393	-0.0835966251337734
25	Hvul-g10041-1	-0.0167991522674878	-0.0175747889606067	-0.000900876128698984	0.0615359460022997	0.066992972169077	-0.0166466907996138	-0.0388494672438078	-0.0222085285592898	-0.0206916933428723	0.00907474237991959	-0.0173094268501069	0.057593272246436	-0.0256238469203596
26	Hvul-g10042-1	-0.0133354626748162	0.0234989072530127	0.0591420997132339	-0.0272548435886681	0.0390356263266116	-0.101823086816976	-0.133715658090967	0.107849826189868	-0.0593475736040879	-0.212615643373016	0.13821944165914	0.0179637280367692	0.00510683579893792
27	Hvul-g10044-1	-2.68469926840905	-1.67848074101036	-0.998846487045267	4.69829865271485	-2.35972057397744	-2.3405597139148	-2.23175718945491	-2.40587271685144	-2.12641440122887	-2.32212888455339	-1.80217337033492	-2.25184144914153	-2.22569089020333
28	Hvul-g10045-1	0.00783469661454636	-0.0337705075857467	-0.00715352833467654	-0.0464666399754909	0.0397073046676974	-0.0390836240231409	0.052605424066944	0.0729148730122075	-0.0298655288823209	0.0145746367903964	0.0675586731086822	0.0188804463112194	0.0596242586083016
29	Hvul-g10046-1	-0.000220651288800578	0.00206622083312531	-0.000579768820709714	-0.000536725759317086	-0.000517480215464108	-0.000513804730501797	-0.000510022731616422	-1.1282597690933e-05	-0.000502645306073826	-0.000498376553508749	-0.000496912449030042	-0.000496397757991208	-0.000495158312147029
30	Hvul-g10047-1	-0.252863125595472	0.666348778778294	0.07674141633994	-0.0934614485575262	-0.414678036485886	-0.258656245043587	-0.188443410769267	-0.00532076950736871	-0.238797849595723	0.0468558895952178	-0.079220578436126	-1.11161952114464	-0.383131163539092
31	Hvul-g10048-1	-0.0027402293482241	-0.00178087519005118	-0.00419428959579923	-0.0130290890590906	-0.00478743291975359	-0.00705582243959475	0.0132726291992014	0.00959659858117437	-0.000723661479056288	0.0260420405254734	0.0160776386612312	0.0138569519043228	0.0419044917197155
32	Hvul-g10049-1	-0.0909835233055846	-0.0821641772648389	-0.0268682191447032	0.371821832479223	0.242293045578476	-0.136077853805548	-0.0776723996527936	-0.00196288508527215	-0.141002124409708	-0.146232470090435	0.0144533390506812	0.0445968710425926	-0.120602604484614
