gene_id	cell_cluster_0	cell_cluster_1	cell_cluster_2	cell_cluster_3	cell_cluster_4	cell_cluster_5	cell_cluster_6	cell_cluster_7	cell_cluster_8	cell_cluster_9	cell_cluster_10
1834	v1g80340	-0.0392251409024056	-0.0698270036286346	-0.0760085665068309	0.570837509495267	-0.070813371798902	-0.0760642282039169	-0.0760622868426151	-0.0766483791597836	-0.0767522952459079	-0.0760414823046489	-0.0759311345956191
1835	v1g80394	0.0241133220735193	0.00129637082510929	-0.0201951053117603	-0.0170455165194548	0.0912552748934138	-0.0609948790685883	-0.0568400696233205	-0.0606978453960282	-0.0606071403601433	-0.0585259025688072	-0.0602587867588441
1836	v1g80405	0.408973507285604	-0.348410511342463	-0.120109505408469	0.135785063233672	-0.288094790492394	-0.131057896467222	-0.0189850170888393	-0.25351567133998	-0.340588432991129	0.479718335280865	-0.337767372708586
1837	v1g80425	0.30481751633319	-0.177505870506144	-0.140175267525209	-0.077923046898507	-0.113661105888459	-0.187034390057312	0.0543494424311621	-0.1845919049624	0.194371679484458	-0.180743887237145	-0.0913762781208877
1838	v1g80435	0.0359577816421961	0.104291335614199	-0.110255147539961	-0.195133432791423	-0.0233911218999204	0.029583803086466	0.141233798063067	-0.0787036583587903	-0.192600670672211	-0.190466285219484	0.372088988001774
1839	v1g80526	-0.60686262465027	-0.181770529161349	-0.117935771014995	-0.55704027230042	-0.283491805191502	-0.431752721060692	-0.24616184539636	-0.549216710074822	3.68537950227621	-0.548104706821258	-0.425135766762124
1840	v1g80685	-0.695945393861401	-0.389998820773744	0.0863934879620397	-0.443588101814303	-0.382386043915293	-0.308634957800039	-0.51491160927484	-0.5169910998878	3.78989023474661	-0.114543711877037	-0.462005194562101
1841	v1g80686	-1.47647491411171	-0.580301508469414	-0.0789652466404889	-1.06167230684587	-1.06682489167502	-1.30857643017005	-0.80496845511664	-0.967128966597859	5.07546705882241	-0.806250402947317	-1.2484841744248
1842	v1g80763	-1.47457520005999	-0.992489498016977	2.46573894124623	-0.795787776868188	-0.947888891696257	-1.43781412098254	-0.686803599610723	-0.952428249663392	0.853859893735048	-1.11896272396635	-0.742321010595692
1843	v1g80927	-0.0730478372606769	0.0577466966010802	0.0448516508300506	-0.0365025646871682	0.0649040840177895	-0.0215212510554849	-0.0793070436668843	-0.076741120218713	0.088673330091187	0.0240454180163976	-0.0772833391905144
1844	v1g8097	-0.110471903127887	0.603274529333608	-0.398495220080291	0.021462910964065	-0.14826118999471	-0.367905711507086	-0.346955706285937	-0.408127341488697	-0.442546872191822	-0.064625629170414	-0.342380925435101
1845	v1g8099	-0.103529116749025	0.716854196834095	-0.447478386733015	-0.048622826587877	-0.345968290456453	-0.563020927041755	-0.323070058152659	-0.431871138294048	-0.675184142245838	0.120275261135526	-0.477751972775305
1846	v1g8103	0.0516893630493415	0.661833048001816	-0.667554874262773	0.0530729519765925	-0.531040304761497	-0.351327493711248	-0.402458564175495	-0.496444872658088	-0.777319845742254	0.228523833094774	-0.180379916978166
1847	v1g81163	0.0842948076723113	-0.069751540967271	-0.0744445073233071	-0.0465478408570413	0.0430436006910378	0.278219166595147	-0.0672520587337406	-0.0670128272172609	-0.0493849602981855	0.0163661513774583	-0.0663882691516623
1848	v1g81344	-0.788891182734279	-0.234724628588598	-0.765765249847298	2.65691362603349	-0.66725038667239	-0.496178016515988	-0.517929275080548	-0.484184210726967	-0.524462048896612	0.0281489190645378	-0.426667181145519
1849	v1g81453	-0.103312900242819	-0.0605465749365793	-0.0964935227969878	0.760978333229298	-0.124253884302699	-0.0546216006765547	-0.129672328367232	-0.12654945702886	-0.126801286852874	-0.127676954170731	0.151831283826131
1850	v1g81538	0.363736329743709	-0.179262488085297	-0.128494287721378	-0.150874424490596	-0.156744897634117	-0.140963881986387	-0.141295292175602	-0.158690956162597	-0.0743867748047476	-0.160798202478862	-0.157152357016516
1851	v1g81540	-0.5318469104391	-0.442463003883143	-0.492468224853557	2.39863635388158	-0.344402832338297	-0.476095495369188	-0.559482597638011	-0.431791104286303	-0.316252722411413	-0.490867122446267	-0.542411703415165
1852	v1g81653	0.119189315961313	-0.0800224284245875	-0.0847503307485239	0.00222972636353161	0.0199638423815155	-0.104335107820255	0.0911785976183326	0.014161066333018	-0.103951361962556	-0.107831647263421	0.228662902347608
1853	v1g81941	-0.830219439171502	-0.769593140428815	-0.678226708182792	3.06331715352341	-0.638665695030092	-0.624947123581462	-0.705681310343052	-0.700132631693955	-0.713820817427855	-0.556306050423916	-0.597169288603345
1854	v1g82155	-0.00473743560793643	-0.0138458373051162	-0.00316239433347478	-0.0117100107432457	0.104028210349486	-0.010906226187475	-0.0108266089867769	-0.0107472294754154	-0.0107444814280326	-0.0106590821719909	-0.0106590821719909
1855	v1g82364	-0.438741073308396	-0.417365717233258	-0.398925406845352	2.09251274129612	-0.347104795216384	-0.410227313932465	0.369888078538693	-0.356636084556968	-0.310125351009653	-0.364428136264098	-0.425383186029592
1856	v1g82501	-0.154609184614399	-0.133431391418722	-0.10490229411296	1.00126067812653	-0.0931180764160368	-0.0680621494591713	-0.120516268984745	-0.094321657292705	-0.149437946228285	-0.0921909170071318	-0.148316689997238
1857	v1g82577	-0.348371169807323	-0.230611654538503	-0.320382336212127	1.84545574632721	-0.280347588887944	-0.386672398001655	-0.261263618630848	-0.354978544421051	-0.392343324378359	-0.393079093306003	-0.3891565563244
1858	v1g82804	-0.0385843720951651	-0.101519359252751	-0.165771303498686	0.724670992619018	-0.0798673076750025	-0.298027680691782	0.0599176726591639	0.449707977001019	-0.10532492137818	-0.264174843587269	-0.266404272870217
1859	v1g83175	-0.0705472670957918	0.0939953333076147	-0.0319306178745127	-0.185994959822387	0.264188118785057	-0.190385599989891	0.134691733661333	0.334118776776489	0.0890354442352035	-0.41840033316872	-0.471590776527924
1860	v1g83192	1.61276997049676	-1.26279356682672	-1.09852351915428	-0.323272516382668	-0.934471535553461	0.113572210171738	-1.0213970681337	-0.5222010123619	-0.873375691741249	-0.683962492973085	1.07607669212954
1861	v1g83199	0.324108769560273	-0.0597442941290779	-0.202714553886112	-0.141781733438243	-0.0369493116450323	-0.116364308036878	-0.177801236717989	-0.304074653773982	-0.31946442854476	-0.185582913319642	-0.318405211295533
1862	v1g83480	-0.383499703242209	-0.290502907601507	-0.353316571411787	1.86364963437054	-0.281920878293031	-0.268773250499256	0.300719265694577	-0.408902372109624	-0.274495988103755	-0.406467195651876	-0.406204353259659
